app,method,path,legacy_declarations,go_route_evidence,php_handler,client_consumers,response_evidence,scope_evidence
dashboard,GET,/contactBatchAdd/dataStatistic,web/legacy/dashboard/src/api/contactBatchAdd.js,internal/server/server.go,-,-,internal/server/server.go,internal/server/server.go
dashboard,GET,/contactBatchAdd/importIndex,web/legacy/dashboard/src/api/contactBatchAdd.js,internal/server/server.go,-,-,internal/server/server.go,internal/server/server.go
dashboard,GET,/contactBatchAdd/index,web/legacy/dashboard/src/api/contactBatchAdd.js,internal/server/server.go,-,-,internal/server/server.go,internal/server/server.go
dashboard,GET,/contactBatchAdd/remind,web/legacy/dashboard/src/api/contactBatchAdd.js,internal/server/server.go,-,-,internal/server/server.go,internal/server/server.go
dashboard,GET,/contactBatchAdd/settingEdit,web/legacy/dashboard/src/api/contactBatchAdd.js,internal/server/server.go,-,-,internal/server/server.go,internal/server/server.go
dashboard,GET,/contactField/index,web/legacy/dashboard/src/api/contactField.js,internal/server/server.go,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/work-contact/src/Action/Dashboard/Field/Index.php#L39,web/legacy/dashboard/src/views/contactField/index.vue,client:web/legacy/dashboard/src/views/contactField/index.vue;git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/work-contact/src/Action/Dashboard/Field/Index.php#L39,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/work-contact/src/Action/Dashboard/Field/Index.php#L39
dashboard,GET,/contactField/portrait,web/legacy/dashboard/src/api/workContact.js,internal/server/server.go,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/work-contact/src/Action/Dashboard/Field/Portrait.php#L42,web/legacy/dashboard/src/views/workContact/index.vue,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/work-contact/src/Action/Dashboard/Field/Portrait.php#L42,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/work-contact/src/Action/Dashboard/Field/Portrait.php#L42
dashboard,GET,/contactFieldPivot/index,web/legacy/dashboard/src/api/workContact.js,internal/server/server.go,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/work-contact/src/Action/Dashboard/FieldPivot/Index.php#L54,web/legacy/dashboard/src/views/workContact/contactFieldPivot.vue,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/work-contact/src/Action/Dashboard/FieldPivot/Index.php#L54,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/work-contact/src/Action/Dashboard/FieldPivot/Index.php#L54
dashboard,GET,/contactMessageBatchSend/contactReceiveIndex,web/legacy/dashboard/src/api/contactMessageBatchSend.js,internal/server/server.go,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/contact-message-batch-send/src/Action/Dashboard/ContactReceiveIndex.php#L43,web/legacy/dashboard/src/views/contactMessageBatchSend/show.vue,client:web/legacy/dashboard/src/views/contactMessageBatchSend/show.vue,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/contact-message-batch-send/src/Action/Dashboard/ContactReceiveIndex.php#L43
dashboard,GET,/contactMessageBatchSend/employeeSendIndex,web/legacy/dashboard/src/api/contactMessageBatchSend.js,internal/server/server.go,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/contact-message-batch-send/src/Action/Dashboard/EmployeeSendIndex.php#L43,web/legacy/dashboard/src/views/contactMessageBatchSend/show.vue,client:web/legacy/dashboard/src/views/contactMessageBatchSend/show.vue,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/contact-message-batch-send/src/Action/Dashboard/EmployeeSendIndex.php#L43
dashboard,GET,/contactMessageBatchSend/index,web/legacy/dashboard/src/api/contactMessageBatchSend.js,internal/server/server.go,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/contact-message-batch-send/src/Action/Dashboard/Index.php#L43,web/legacy/dashboard/src/views/contactMessageBatchSend/index.vue,client:web/legacy/dashboard/src/views/contactMessageBatchSend/index.vue,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/contact-message-batch-send/src/Action/Dashboard/Index.php#L43
dashboard,GET,/contactMessageBatchSend/messageShow,web/legacy/dashboard/src/api/contactMessageBatchSend.js,internal/server/server.go,-,-,internal/server/server.go,internal/server/server.go
dashboard,GET,/contactMessageBatchSend/show,web/legacy/dashboard/src/api/contactMessageBatchSend.js,internal/server/server.go,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/contact-message-batch-send/src/Action/Dashboard/Show.php#L43,web/legacy/dashboard/src/views/contactMessageBatchSend/show.vue,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/contact-message-batch-send/src/Action/Dashboard/Show.php#L43,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/contact-message-batch-send/src/Action/Dashboard/Show.php#L43
dashboard,GET,/contactMessageBatchSend/showRoom,web/legacy/dashboard/src/api/workRoom.js,internal/server/server.go,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/contact-message-batch-send/src/Action/Dashboard/ShowRoom.php#L64,web/legacy/dashboard/src/views/workRoom/detail.vue,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/contact-message-batch-send/src/Action/Dashboard/ShowRoom.php#L64,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/contact-message-batch-send/src/Action/Dashboard/ShowRoom.php#L64
dashboard,GET,/contactSop/index,web/legacy/dashboard/src/api/contactSop.js,internal/server/server.go,-,-,internal/server/server.go,internal/server/server.go
dashboard,GET,/contactSop/info,web/legacy/dashboard/src/api/contactSop.js,internal/server/server.go,-,-,internal/server/server.go,internal/server/server.go
dashboard,GET,/contactTransfer/info,web/legacy/dashboard/src/api/contactTransfer.js,internal/server/server.go,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/contact-transfer/src/Action/Dashboard/Info.php#L52,web/legacy/dashboard/src/views/contactTransfer/workIndex.vue,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/contact-transfer/src/Action/Dashboard/Info.php#L52,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/contact-transfer/src/Action/Dashboard/Info.php#L52
dashboard,GET,/contactTransfer/log,web/legacy/dashboard/src/api/contactTransfer.js,internal/server/server.go,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/contact-transfer/src/Action/Dashboard/Log.php#L53,web/legacy/dashboard/src/views/contactTransfer/resignAllotRecord.vue;web/legacy/dashboard/src/views/contactTransfer/workAllotRecord.vue,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/contact-transfer/src/Action/Dashboard/Log.php#L53,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/contact-transfer/src/Action/Dashboard/Log.php#L53
dashboard,GET,/contactTransfer/room,web/legacy/dashboard/src/api/contactTransfer.js,internal/server/server.go,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/contact-transfer/src/Action/Dashboard/Room.php#L53,web/legacy/dashboard/src/views/contactTransfer/resignIndex.vue,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/contact-transfer/src/Action/Dashboard/Room.php#L53,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/contact-transfer/src/Action/Dashboard/Room.php#L53
dashboard,GET,/contactTransfer/saveUnassignedList,web/legacy/dashboard/src/api/contactTransfer.js,internal/server/server.go,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/contact-transfer/src/Action/Dashboard/SaveUnassignedList.php#L55,-,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/contact-transfer/src/Action/Dashboard/SaveUnassignedList.php#L55,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/contact-transfer/src/Action/Dashboard/SaveUnassignedList.php#L55
