app,method,path,dimension,reason,evidence
dashboard,GET,/greeting/index,corp_scope,no-static-corp-scope,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/greeting/src/Action/Dashboard/Index.php#L41
dashboard,GET,/greeting/show,corp_scope,no-static-corp-scope,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/plugin/mochat/greeting/src/Action/Dashboard/Show.php#L57
dashboard,GET,/lottery/index,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/lottery/index,response,no-static-response-fields,internal/server/server.go
dashboard,GET,/lottery/info,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/lottery/info,response,no-static-response-fields,internal/server/server.go
dashboard,GET,/lottery/share,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/lottery/share,response,no-static-response-fields,internal/server/server.go
dashboard,GET,/lottery/show,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/lottery/show,response,no-static-response-fields,internal/server/server.go
dashboard,GET,/lottery/writeOff,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/lottery/writeOff,response,no-static-response-fields,internal/server/server.go
dashboard,GET,/medium/index,corp_scope,no-static-corp-scope,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/medium/src/Action/Dashboard/Index.php#L43
dashboard,GET,/medium/show,corp_scope,no-static-corp-scope,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/medium/src/Action/Dashboard/Show.php#L38
dashboard,GET,/medium/show,response,indirect-response-shape,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/medium/src/Action/Dashboard/Show.php#L38
dashboard,GET,/mediumGroup/index,corp_scope,no-static-corp-scope,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/medium/src/Action/Dashboard/Group/Index.php#L36
dashboard,GET,/mediumGroup/index,response,indirect-response-shape,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/medium/src/Action/Dashboard/Group/Index.php#L36
dashboard,GET,/officialAccount/index,response,indirect-response-shape,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/official-account/src/Action/Dashboard/Index.php#L78
dashboard,GET,/radar/index,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/radar/index,response,no-static-response-fields,internal/server/server.go
dashboard,GET,/radar/indexChannel,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/radar/indexChannelLink,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/radar/info,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/radar/info,response,no-static-response-fields,internal/server/server.go
dashboard,GET,/radar/radarArticle,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/radar/radarArticle,response,no-static-response-fields,internal/server/server.go
dashboard,GET,/radar/show,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/radar/show,response,no-static-response-fields,internal/server/server.go
dashboard,GET,/radar/showChannel,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/radar/showChannel,response,no-static-response-fields,internal/server/server.go
dashboard,GET,/radar/showContact,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/role/index,response,indirect-response-shape,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/rbac/src/Action/Dashboard/Role/Index.php#L47
dashboard,GET,/role/permissionByUser,corp_scope,no-static-corp-scope,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/rbac/src/Action/Dashboard/Role/PermissionByUser.php#L70
dashboard,GET,/role/permissionByUser,response,indirect-response-shape,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/rbac/src/Action/Dashboard/Role/PermissionByUser.php#L70
dashboard,GET,/role/permissionShow,corp_scope,no-static-corp-scope,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/rbac/src/Action/Dashboard/Role/PermissionShow.php#L44
dashboard,GET,/role/permissionShow,response,indirect-response-shape,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/rbac/src/Action/Dashboard/Role/PermissionShow.php#L44
dashboard,GET,/role/select,corp_scope,no-static-corp-scope,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/rbac/src/Action/Dashboard/Role/Select.php#L43
dashboard,GET,/role/select,response,indirect-response-shape,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/rbac/src/Action/Dashboard/Role/Select.php#L43
dashboard,GET,/role/showEmployee,response,indirect-response-shape,git:3dcd216c188df34f2c3ed489b8e8b9473e635488:api-server/app/core/rbac/src/Action/Dashboard/Role/ShowEmployee.php#L47
dashboard,GET,/roomCalendar/index,corp_scope,no-static-corp-scope,internal/server/server.go
dashboard,GET,/roomCalendar/index,response,no-static-response-fields,internal/server/server.go
